rating,review,avg_word,word_count
1,"['pengiriman' 'melalui' 'ninja' 'sangat' 'lama' 'jauh' 'berbeda' 'dengan'
 'kurir' 'internal' 'lazada' 'lebih' 'baik' 'kasih' 'opsi' 'ke'
 'pelanggan' 'agar' 'bisa' 'memilih' 'kurir']",5.57142857142857,21
1,"['pesananku' 'pada' 'nomor' 'order' 'ini' 'terkirim' 'dengan' 'baik'
 'tapi' 'pada' 'nomor' 'order' 'dua' 'puluh' 'juta' 'dua' 'ratus' 'tiga'
 'ribu' 'enam' 'ratus' 'tiga' 'puluh' 'dua' 'dua' 'puluh' 'juta' 'dua'
 'ratus' 'tiga' 'ribu' 'enam' 'ratus' 'tiga' 'puluh' 'dua' '905139'
 'email' 'is' 'luviantienam' 'diambil' 'om' 'terkendali' 'dan' 'tidak'
 'tahu' 'proses' 'lanjut' 'bagaimana' 'sudah' 'transaksi' 'tapi' 'tidak'
 'ada' 'konfirmasi' 'pembayaran' 'di' 'emai' 'atau' 'o' 'telpon' 'sudah'
 'keluhan' 'ke' 'pihak' 'lazada' 'tapi' 'tidak' 'ada' 'kejelasan' 'barang'
 'juga' 'tidak' 'di' 'kirim' 'sampai' 'sekarang' 'mengadukan' 'penampilan'
 'dana' 'pun' 'tidak' 'bisa' 'bagaimana' 'solusi' 'agar' 'barang' 'bisa'
 'di' 'kirim' 'atau' 'kalau' 'tidak' 'bisa' 'mengembalikan' 'dana' 'saja'
 'mohon' 'bantu' 'akan']",5.19387755102041,98
5,"['tidak' 'sia' 'sia' 'susah' 'payah' 'ikutan' 'flash sale' 'akhir' 'dapat'
 'juga' 'walaupun' 'harga' 'naik' 'turunin' 'lagi' 'dong' 'gara'
 'secara keseluruhan' 'ok' 'mantap' 'terima kasih' 'lazada' 'terima kasih'
 'xiaomi' 'redmi' 'lima' 'a']",5.88888888888889,27
5,"['setelah' 'tujuh' 'kali' 'gagal' 'flash sale' 'akhir' 'dapat' 'juga'
 'padahal' 'tidak' 'menyangka' 'akan' 'dapat' 'estimasi' 'senin'
 'diterima' 'ternyata' 'sabtu' 'sudah' 'datang' 'pelayanan' 'kurir'
 'semua' 'oke' 'tingkatan' 'lagi' 'lazada']",5.96296296296296,27
5,"['saya' 'kurang' 'setuju' 'dengan' 'flash sale' 'memang' 'sih' 'untuk'
 'strategi' 'penasaran' 'berhasil' 'tapi' 'kalau' 'dari' 'segi' 'kepuasan'
 'konsumen' 'saya' 'rasa' 'kurang' 'karena' 'banyak' 'yang' 'tidak'
 'dapat' 'saya' 'delapan' 'kali' 'ikut' 'flash sale' 'cuma' 'dapat' 'satu'
 'sekali' 'saja' 'dan' 'menurut' 'saya' 'toko' 'toko' 'telepon genggam'
 'lah' 'yang' 'paling' 'banyak' 'dapat' 'flash sale' 'dan' 'dijual'
 'dengan' 'harga' 'yang' 'lebih' 'tinggi' 'lagi' 'merugikan' 'mi'
 'penggemar']",5.62068965517241,58
1,"['kurir' 'ninja' 'express' 'lambat' 'kecewa' 'kenapa' 'sih' 'lazada'
 'masih' 'mau' 'bekerja' 'sama' 'dengan' 'kurir' 'siput' 'itu']",5.125,16
1,"['pengiriman' 'ke' 'kota' 'depok' 'membutuhkan' 'sebelas' 'hari'
 'terhitung' 'dari' 'waktu' 'kurir' 'pink' 'up' 'ke' 'lazada' 'di' 'resi'
 'tertera' 'pengiriman' 'dari' 'gudang' 'ninja' 'di' 'jakarta' 'timur'
 'tidak' 'ada' 'komunikasi' 'atau' 'informasi' 'di' 'resi' 'mengenai'
 'kendala' 'paket' 'setelah' 'ditelepon' 'mereka' 'beralasan' 'titik'
 'alamat' 'tidak' 'temukan' 'padahal' 'alamat' 'sudah' 'sangat' 'jelas'
 'dan' 'ekspedisi' 'lain' 'pun' 'tidak' 'pernah' 'ada' 'kendala' 'seperti'
 'itu' 'lalu' 'jika' 'memang' 'alasan' 'tidak' 'temukan' 'titik' 'alamat'
 'itu' 'benar' 'mengapa' 'tidak' 'menghubungi' 'saya' 'menerima'
 'langsung' 'atau' 'memberi' 'keterangan' 'di' 'resi' 'tolong' 'lazada'
 'dipertimbangkan' 'lagi' 'untuk' 'mengunakan' 'kurir' 'ninja' 'tidak'
 'jarang' 'saya' 'melihat' 'alasan' 'produk' 'lazada' 'dengan' 'bintang'
 'kecil' 'karena' 'pengiriman' 'yang' 'lambat' 'dari' 'ninja' 'semoga'
 'masukan' 'saya' 'diperhatikan' 'agar' 'pengalaman' 'berbelanja' 'yang'
 'lebih' 'baik' 'ke' 'depan' 'di' 'lazada' 'terima' 'kasih']",5.74789915966387,119
5,"['barang' 'sudah' 'sampai' 'hanya' 'lama' 'sekali' 'lebih baik' 'pakai'
 'ekspedisi' 'yang' 'bisa' 'dipercaya' 'pakai' 'les' 'indonesia' 'jangan'
 'pakai' 'ninja van' 'i' 'di' 'lama']",5.57142857142857,21
5,"['saran' 'tolong' 'pengiriman' 'paket' 'saya' 'jeng' 'melalui' 'jasa'
 'pengiriman' 'ninja' 'express' 'lagi' 'paket' 'lama' 'sampai']",5.73333333333333,15
5,"['telepon genggam' 'xiaomi' 'memang' 'oke' 'cepat' 'sampai' 'kurir'
 'ramah' 'terima' 'kah' 'xiaomi' 'dan' 'lazada' 'semoga' 'flash' 'sale'
 'terus' 'berlanjut' 'oke']",5.63157894736842,19
