rating,review
1,"['pengiriman', 'melalui', 'ninja', 'sangattttt', 'lamaaaa', 'jauh', 'berbeda', 'dengan', 'kurir', 'internal', 'lazada', 'lebih', 'baik', 'kasih', 'opsi', 'ke', 'pelanggan', 'agar', 'bisa', 'memilih', 'kurir']"
1,"['pesananku', 'pada', 'no', 'order', 'ini', 'terkirim', 'dgn', 'baik', 'tapi', 'pada', 'no', 'order', 'email', 'iis', 'luvianti', 'gmail', 'com', 'terkendala', 'dan', 'gak', 'tau', 'proses', 'selanjutnya', 'bagaimana', 'sudah', 'transaksi', 'tp', 'gak', 'ada', 'konfirmasi', 'pembayaran', 'di', 'email', 'no', 'tlpon', 'sudah', 'komplain', 'ke', 'pihak', 'lazada', 'tp', 'gak', 'ada', 'kejelasan', 'barang', 'juga', 'gak', 'di', 'kirim', 'sampai', 'sekarang', 'mengajukan', 'pengambilan', 'dana', 'pun', 'gak', 'bisa', 'bagaimana', 'solusinya', 'agar', 'barang', 'bisa', 'di', 'kirim', 'atau', 'kalo', 'gak', 'bisa', 'pengembalian', 'dana', 'saja', 'mohon', 'bantuanya', 'agan']"
5,"['ga', 'sia', 'sia', 'susah', 'payah', 'ikutan', 'flashsale', 'akhirnya', 'dapet', 'juga', 'walaupun', 'harganya', 'naik', 'turunin', 'lg', 'dong', 'garganya', 'overall', 'sip', 'mantab', 'thank', 'lazada', 'thank', 'xiaomi', 'redmi', 'a']"
5,"['setelah', 'kali', 'gagal', 'flashsale', 'akhirnya', 'dapat', 'juga', 'padahal', 'ngga', 'nyangka', 'akan', 'dapat', 'estimasi', 'senin', 'diterima', 'ternyata', 'sabtu', 'sudah', 'datang', 'pelayanan', 'kurir', 'semua', 'ok', 'tingkatkan', 'lagi', 'lazada']"
5,"['saya', 'kurang', 'setuju', 'dengan', 'fs', 'memang', 'sih', 'untuk', 'strategi', 'marketing', 'berhasil', 'tapi', 'kalau', 'dari', 'segi', 'kepuasan', 'konsumen', 'saya', 'rasa', 'kurang', 'karena', 'banyak', 'yg', 'ga', 'dapat', 'saya', 'kali', 'ikut', 'fs', 'cuman', 'dapat', 'sekali', 'aja', 'menurut', 'saya', 'toko', 'toko', 'hp', 'la', 'yang', 'paling', 'banyak', 'dapat', 'fs', 'dan', 'dijual', 'dengan', 'harga', 'yg', 'lebih', 'tinggi', 'lagi', 'merugikan', 'mi', 'fans']"
1,"['kurir', 'ninja', 'express', 'leleeeeetttt', 'kecewa', 'kenapa', 'sih', 'lazada', 'masih', 'mau', 'bekerja', 'sama', 'dengan', 'kurir', 'siput', 'ituuuuu']"
1,"['pengiriman', 'ke', 'kota', 'depok', 'membutuhkan', 'hari', 'terhitung', 'dari', 'waktu', 'kurir', 'pick', 'up', 'ke', 'lazada', 'di', 'resi', 'tertera', 'pengiriman', 'dari', 'gudang', 'ninja', 'di', 'jakarta', 'timur', 'tidak', 'ada', 'komunikasi', 'atau', 'info', 'di', 'resi', 'mengenai', 'kendala', 'paket', 'setelah', 'ditelpon', 'mereka', 'beralasan', 'titik', 'alamat', 'tidak', 'ditemukan', 'padahal', 'alamat', 'sudah', 'sangat', 'jelas', 'dan', 'ekspedisi', 'lain', 'pun', 'tidak', 'pernah', 'ada', 'kendala', 'seperti', 'itu', 'lalu', 'jika', 'memang', 'alasan', 'tidak', 'ditemukan', 'titik', 'alamat', 'itu', 'benar', 'mengapa', 'tidak', 'menghubungi', 'saya', 'penerima', 'langsung', 'atau', 'memberi', 'keterangan', 'di', 'resi', 'tolong', 'lazada', 'dipertimbangkan', 'lagi', 'untuk', 'menggunakan', 'kurir', 'ninja', 'tak', 'jarang', 'saya', 'melihat', 'review', 'produk', 'lazada', 'dengan', 'bintang', 'kecil', 'karena', 'pengiriman', 'yang', 'lambat', 'dari', 'ninja', 'semoga', 'masukan', 'saya', 'diperhatikan', 'agar', 'pengalaman', 'berbelanja', 'yang', 'lebih', 'baik', 'ke', 'depan', 'di', 'lazada', 'terima', 'kasih']"
5,"['barang', 'udah', 'nyampe', 'cuma', 'lama', 'banget', 'mending', 'pake', 'expedisi', 'yg', 'bisa', 'dipercaya', 'pake', 'lex', 'id', 'jgn', 'pake', 'ninjavanid', 'i', 'd', 'lama']"
5,"['saran', 'tolong', 'pengitiman', 'paket', 'saya', 'jng', 'melaluin', 'jasa', 'penitiman', 'ninja', 'expres', 'lg', 'paket', 'lama', 'sampai', 'nya']"
5,"['hp', 'xiomi', 'emng', 'ok', 'cepat', 'nyampe', 'kurir', 'ramah', 'terima', 'ksh', 'xiomi', 'lazada', 'semoga', 'flash', 'sale', 'terus', 'berlanjut', 'oke']"
