review,actual,predicted
terima kasih kamu lazada dan oficial sore,1,1
puas dengan kecepatan pakaian dari lazada,1,1
bagus murah berkualitas,0,1
bisa buat aplikasi line tidak,0,1
barang berfungsi normal dan sesuai pesanan,1,1
pengiriman cepat kualitas kamera mantap paket rapi terima kasih lazada,1,1
barang sudah saya terima dengan kondisi baik terima kasih lazada,1,1
yah walaupun harga naik seratus ribu tapi produk memang berkualitas mantap sangat,1,1
mantap pokok nya,1,1
terima kasih banyak saya sangat suka dengan produk,1,1
puas tapi ting pengiriman bisa lebih cepat,0,1
jam tangan sekaligus bisa buat telepon lumayan bagus sayang setiap karet kurang awet cepat putus,0,0
bagus barang yang terima sesuai dengan pesanan pengiriman lebih cepat dari motivasi email olah pokoknya,1,1
barang pesanan saya sudah masuk sembilan hari belum sampai sampai uang sudah habis kepada,1,0
masing gampang lepas kurang atau resisi tempered glass kecilan,1,0
saya memilih pengiriman sampai hari yang sama tapi baru sampai keesokan hari tapi ini sudah cepat sekali aman sampai dengan selamat lewat kurir lazada terima kasih,1,1
sampai di tempat dalam keadaan basah kurir dia jawab tertawa tidak tahu harap ke depan bisa pakai ekspedisi yang lebih profesional,0,0
beli dari oficial sore jadi terpercaya,1,1
barang sudah sampai penjelasan rapi cepat sampainya,0,1
bos celana tidak sesuai ukuran bagaimana orderan aku tiga tiga yang dikirim ukuran tiga tidak muat ini pelanggan kecewa tolong kebijakanya,0,0
mantap,1,1
spesifikasi bagus dengan harga terjangkau sangat puas,0,1
barang yang saya beli tadi sore sudah dikirim apa belum,0,0
barang oke mantap sudah pengiriman juga cepat terima kasih lazada,1,1
barang bagus sampai sekarang masih aku pakai thankyou lazada,0,0
bagus sekali,1,1
barang sesuai pesanan pengiriman tepat waktu penjelasan rapi terima kasih,1,1
smartwatch ini lumayan juga tertawa masih ada kurang akun data tidak terekam sama otomatis setelah isi sim kartu mau asing terlebih dahulu mohon donk bantuan akun data home pagi iya,1,0
tidak berfungsi jam alias tidak hidup pas hidupka atau inyalakan,0,0
capai anti track plus tempered glass murah sekali,1,1
tidak mengecewakan,1,0
mantap,1,1
terima kasih lazada dan selera barang diterima dengan kondisi bagus harga sesuai lah termasuk murah tapi tampilan dan palsu tidak murahan bagus jam saya suka,0,0
terima kasih lazada telepon genggam murah spesifikasi oke,1,1
alhamdulilah semoga besok dapat lagi,1,1
walaupun agak susah rebutan dua menit sudah ludes tapi keren,1,1
